43114,82.04,69.34,63.76,2.06,613,599.6,610
43121,82.86,70.09,65.04,2.1,621.65,610,613.2
43128,83.09,69.15,65.21,2.08,613.45,613.2,588.2
43135,79.12,65.52,61.94,1.94,580.3,588.2,563.25
43142,74.87,63.77,60.42,1.87,555.1,563.25,573.7
43149,76.85,66.01,62.48,1.95,580.9,573.7,577.2
43156,77.8,65.62,62.16,1.93,579.1,577.2,564.6
43163,76.18,64.95,61.7,1.88,571.15,564.6,568.2
43170,77.06,65.16,61.31,1.89,574,568.2,589.4
43177,79.78,68.46,64.16,1.97,601.4,589.4,607.5
43184,82.3,70.01,65.03,2.02,617.19,607.5,603
43191,81.67,67.84,63.1,1.98,609.2,603,615.2
43198,83.34,71.27,66.04,2.07,635.5,615.2,625.4
43205,84.93,72.86,67.58,2.09,638.55,625.4,641.2
43212,86.72,74.39,68.14,2.14,652.5,641.2,640.25
43219,86.52,74.03,68.38,2.13,647.95,640.25,660.6
43226,89.6,76.56,70.6,2.2,669.45,660.6,677.7
43233,92.04,78.75,71.31,2.26,690.9,677.7,685.1
43240,92.7,78.76,70.96,2.26,694.15,685.1,667.38
43247,90,76.51,66.95,2.2,677.05,667.38,655.8
43254,88.53,75.96,65.34,2.15,663.6,655.8,654
43261,88.53,75.69,66.21,2.15,662.1,654,634
43268,85.46,74.75,66.25,2.11,644.6,634,642.6
43275,86.74,77.19,71.79,2.16,658.65,642.6,651.7
43282,87.91,77.56,73.71,2.17,664.35,651.7,647.4
43289,87.48,76.02,71.94,2.15,666.55,647.4,627.1
43296,84.58,72.51,68.96,2.08,636.6,627.1,643.2
43303,87.12,73.85,68.8,2.15,658.55,643.2,641.6
43310,87.07,73.65,68.8,2.13,650.15,641.6,646.5
43317,87.79,73.11,67.91,2.14,651.1,646.5,644.6
43324,87.17,71.82,66.12,2.11,647,644.6,654.5
43331,88.55,74.03,67.64,2.16,661.2,654.5,677.2
43338,91.64,76.9,69.39,2.23,685.05,677.2,684.6
43345,93.03,77.38,68.53,2.23,687.15,684.6,684.6
43352,92.83,78.49,68.95,2.23,683.85,684.6,690.5
43359,93.01,78.8,70.29,2.23,686.1,690.5,712.9
43366,96.32,81.77,72.26,2.31,712.65,712.9,739.6
43373,100.1,84.96,75.12,2.41,740,739.6,732.8
43380,98.66,82.54,72.95,2.37,734.9,732.8,717.7
43387,96.6,80.26,70.24,2.31,714.2,717.7,710.8
43394,95.41,77.39,67.47,2.28,707.8,710.8,700.2
43401,92.99,74.89,65.07,2.24,697.3,700.2,666.75
43408,88.34,71.64,61.57,2.19,680.65,666.75,639.2
43415,85.3,67.02,56.96,2.09,644.8,639.2,599
43422,79.7,62.84,53.81,1.98,604.9,599,552.6
43429,73.56,59.53,51.17,1.86,568.15,552.6,547.2
43436,73.01,61.41,52.64,1.88,579.1,547.2,539.2
43443,72,60.41,51.52,1.85,564.9,539.2,515.8
43450,68.61,56.26,46.96,1.77,531.3,515.8,483
43457,64.03,52.33,44.67,1.68,504,483,493.33
43464,66.04,55.43,46.75,1.72,517.13,493.33,540.2
43471,72.55,59.93,50.97,1.85,556.05,540.2,551.2
43478,73.66,60.97,52.16,1.88,566.05,551.2,557.4
43485,74.4,61.62,53,1.89,568.55,557.4,554.8
43492,74.02,61.51,53.72,1.89,573.85,554.8,567.17
